owner_id,binding_role,language,path,line_start,line_end,bytes,sha256,span_sha256,span_hash_algorithm
urn:uuid:001ad305-621b-51e2-819a-d4c8ddb7591c,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,645,648,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,13b583d8b035955be60fbe1603e08ab3d9c7c98230f1ba97551ee4ba49fd6c33,sha256-utf8-lines-lf-v1
urn:uuid:001ad305-621b-51e2-819a-d4c8ddb7591c,target,id-ID,repo/source/chapter2.tex,645,648,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,13b583d8b035955be60fbe1603e08ab3d9c7c98230f1ba97551ee4ba49fd6c33,sha256-utf8-lines-lf-v1
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,,,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,,
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,repo/source/LICENSE,,,19045,48a83a6e39f7b2f166763b30776132c9a99aa816f17cb06f87ad5b8542a7b71f,,
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,repo/source/ccby.png,,,12588,633aae44a5d5b8915debc82f56a8e05c1b62b567b1aefeabc18617b81d8a04a9,,
urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,rights-component,,repo/source/AJbook.cls,,,13780,f35dbe8942a880dfe70c072bcfe0491d8cc83f562c28a481b949ca4cc84f0b04,,
urn:uuid:1d862172-244a-566b-a407-ccd32dc4db6d,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,632,635,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,32d3880a0494e058c558c139c0bec9598d6eed09e3301e3cc0aefea637b16359,sha256-utf8-lines-lf-v1
urn:uuid:1d862172-244a-566b-a407-ccd32dc4db6d,target,id-ID,repo/source/chapter2.tex,632,635,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,32d3880a0494e058c558c139c0bec9598d6eed09e3301e3cc0aefea637b16359,sha256-utf8-lines-lf-v1
urn:uuid:200ff0b7-9f9e-512c-882a-56ad83cacd4c,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,614,617,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,44703c8bc728ced5adbc56c6ddbe95618613ff9347c68c9ffad7772dd00386fd,sha256-utf8-lines-lf-v1
urn:uuid:200ff0b7-9f9e-512c-882a-56ad83cacd4c,target,id-ID,repo/source/chapter2.tex,614,617,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,44703c8bc728ced5adbc56c6ddbe95618613ff9347c68c9ffad7772dd00386fd,sha256-utf8-lines-lf-v1
urn:uuid:2dc2457b-b70a-5f17-8dfc-9e1e578b3926,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,640,640,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,a821b23ae637dda641359c1fd69177bf3c3e865a375e0cc9f66409c3e0e41999,sha256-utf8-lines-lf-v1
urn:uuid:2dc2457b-b70a-5f17-8dfc-9e1e578b3926,target,id-ID,repo/source/chapter2.tex,640,640,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,f389ecf9488f28b8cd9bbdde2882d618d96ba9313f1b19c1a1785c74a14c47f2,sha256-utf8-lines-lf-v1
urn:uuid:4ab2f95d-1dfc-5413-8b18-c4284f1e9ff9,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,640,640,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,a821b23ae637dda641359c1fd69177bf3c3e865a375e0cc9f66409c3e0e41999,sha256-utf8-lines-lf-v1
urn:uuid:4ab2f95d-1dfc-5413-8b18-c4284f1e9ff9,target,id-ID,repo/source/chapter2.tex,640,640,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,f389ecf9488f28b8cd9bbdde2882d618d96ba9313f1b19c1a1785c74a14c47f2,sha256-utf8-lines-lf-v1
urn:uuid:540ea779-b890-5ed4-8ee4-ad1213233df2,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,663,666,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,e2c6b9d2238a181267385224ecbaa6f7289eab177cee8f733022fec8927e0bbc,sha256-utf8-lines-lf-v1
